# 更新标记: 2025-12-24 10:02:26
🌐央视频道,#genre#
CCTV1,http://223.198.240.109:4000/rtp/239.253.64.120:5140
CCTV2,http://223.198.240.109:4000/rtp/239.253.64.195:5140
CCTV3,http://223.198.240.109:4000/rtp/239.253.64.244:5140
CCTV4,http://223.198.240.109:4000/rtp/239.253.64.196:5140
CCTV5,http://223.198.240.109:4000/rtp/239.253.64.245:5140
CCTV6,http://223.198.240.109:4000/rtp/239.253.64.246:5140
CCTV7,http://223.198.240.109:4000/rtp/239.253.64.54:5140
CCTV8,http://223.198.240.109:4000/rtp/239.253.64.247:5140
CCTV9,http://223.198.240.109:4000/rtp/239.253.64.76:5140
CCTV10,http://223.198.240.109:4000/rtp/239.253.64.87:5140
CCTV11,http://223.198.240.109:4000/rtp/239.253.64.70:5140
CCTV12,http://223.198.240.109:4000/rtp/239.253.64.97:5140
CCTV13,http://223.198.240.109:4000/rtp/239.253.64.59:5140
CCTV14,http://223.198.240.109:4000/rtp/239.253.64.115:5140
CCTV15,http://223.198.240.109:4000/rtp/239.253.64.72:5140
CCTV16,http://223.198.240.109:4000/rtp/239.253.64.251:5140
CCTV17,http://223.198.240.109:4000/rtp/239.253.64.67:5140
CCTV4K,http://220.176.218.76:9000/rtp/239.252.219.60:5140
CCTV8K,http://yp.qqqtv.top/1/api.php?id=CCTV-8K%E8%B6%85%E9%AB%98%E6%B8%85&auth=666858
CCTV5+,http://223.198.240.109:4000/rtp/239.253.64.100:5140
CCTV书画,http://yp.qqqtv.top/1/api.php?id=%E4%B9%A6%E7%94%BB%E9%A2%91%E9%81%93&auth=666858
CCTV中学生,http://8.138.7.223/tv/migu3.php?id=zxs
CCTV老故事,http://8.138.7.223/tv/migu3.php?id=lgs
CCTV发现之旅,http://8.138.7.223/tv/migu3.php?id=fxzl
CCTV文化精品,http://yp.qqqtv.top/1/api.php?id=CCTV-%E5%A4%AE%E8%A7%86%E6%96%87%E5%8C%96%E7%B2%BE%E5%93%81&auth=666858
CCTV兵器科技,http://yp.qqqtv.top/1/api.php?id=CCTV-%E5%85%B5%E5%99%A8%E7%A7%91%E6%8A%80&auth=666858
CCTV央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
CCTV世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8
CCTV风云音乐,http://yp.qqqtv.top/1/api.php?id=CCTV-%E9%A3%8E%E4%BA%91%E9%9F%B3%E4%B9%90&auth=666858
CCTV女性时尚,http://123.191.15.105:1111/rtp/232.0.0.51:1234
CCTV电视指南,http://yp.qqqtv.top/1/api.php?id=CCTV-%E7%94%B5%E8%A7%86%E6%8C%87%E5%8D%97&auth=666858
CCTV游戏风云,http://yp.qqqtv.top/1/api.php?id=%E6%B8%B8%E6%88%8F%E9%A3%8E%E4%BA%91&auth=666858
CCTV中国天气,http://yp.qqqtv.top/1/api.php?id=%E4%B8%AD%E5%9B%BD%E5%A4%A9%E6%B0%94&auth=666858
CCTV高尔夫网球,http://yp.qqqtv.top/1/api.php?id=CCTV-%E9%AB%98%E5%B0%94%E5%A4%AB%E7%BD%91%E7%90%83&auth=666858
CCTV第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
CCTV风云剧场,http://hmfs.f3322.net:3388/hls/20/index.m3u8
CCTV怀旧剧场,http://yp.qqqtv.top/1/api.php?id=CCTV-%E6%80%80%E6%97%A7%E5%89%A7%E5%9C%BA&auth=666858
CCTV西班牙语,http://8.138.7.223/tv/migu3.php?id=cgtne
CCTV法语,http://8.138.7.223/tv/migu3.php?id=cgtnf
CCTV阿拉伯语,http://8.138.7.223/tv/migu3.php?id=cgtna
CCTV俄语,http://8.138.7.223/tv/migu3.php?id=cgtnr
CGTN,http://183.11.239.36:808/hls/34/index.m3u8
CCTV-,http://yp.qqqtv.top/1/api.php?id=CCTV-4K%E8%B6%85%E9%AB%98%E6%B8%85&auth=666858
CCTV-卫生健康,http://yp.qqqtv.top/1/api.php?id=CCTV-%E5%8D%AB%E7%94%9F%E5%81%A5%E5%BA%B7&auth=666858


📡卫视频道,#genre#
北京卫视,http://114.100.195.238:4022/rtp/238.1.78.162:7168
东方卫视,https://stream1.freetv.fun/dong-fang-wei-shi-39.m3u8
天津卫视,https://stream1.freetv.fun/tian-jin-wei-shi-12.ctv
重庆卫视,https://stream1.freetv.fun/zhong-qing-wei-shi-4.m3u8
广东卫视,https://stream1.freetv.fun/ipv6-yan-dong-wei-shi-93.m3u8
深圳卫视,http://123.191.26.168:1111/rtp/232.0.0.110:1234
三沙卫视,http://8.138.7.223/tv/hainan.php?id=ssws
江苏卫视,http://221.2.148.205:8154/tsfile/live/0127_1.m3u8
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-20.m3u8
山东卫视,http://114.100.195.238:4022/rtp/238.1.78.169:7224
河南卫视,http://114.100.195.46:4022/rtp/238.1.79.65:4632
四川卫视,http://223.198.242.217:4000/rtp/239.253.64.36:5140
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8
康巴卫视,http://111.202.12.159:8080/3zvkK28/1000/live.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
河北卫视,http://153.0.171.163:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://113.90.245.216:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
