# 更新标记: 2026-01-28 22:01:08
🌐央视频道,#genre#
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260128224232f6f1b9ad06f342968ac3e590f488079e&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260128224232&Channel_ID=0116_2600001300-99000-201600010013608&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=113.194.203.98&SecurityKey=20260128224232&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=fd5bc54918978d48a02f342acd1c7e38
CCTV2,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202601282241310109f6ca62b545edaf3f60274a773e9e&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20260128224131&Channel_ID=0116_2600001300-99000-201600010013606&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=182.87.104.238&SecurityKey=20260128224131&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d97103ff1f6eebead60a0d02196d5c1f
CCTV3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=202601282241011562ff14a6414a0aab6bb843f8b7ee05&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260128224101&Channel_ID=0116_2600001300-99000-201600010013605&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=182.87.104.239&SecurityKey=20260128224101&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6e3259023e9c50e3d3e5c2a72a10ae47
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=20260128224030fa2c56dc76864cfb98a2b06309a47ec1&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260128224030&Channel_ID=0116_2600001300-99000-201600010013604&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=42.176.202.29&SecurityKey=20260128224030&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=927e60a696ecefa1649378e86f98218d
CCTV5,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=2026012822392852f79d3d52654a98ab98f895f596feef&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20260128223928&Channel_ID=0116_2600001300-99000-201600010013602&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=42.176.202.251&SecurityKey=20260128223928&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a4a7c5e73d82ab1fa1eccd8677e7824f
CCTV6,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=20260128223858255247a97b0c46ad9ef311e8df1cd98c&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260128223858&Channel_ID=0116_2600001300-99000-201600010013601&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=42.176.202.81&SecurityKey=20260128223858&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=8fc17df1bf3e8954655df7ef727eacd0
CCTV7,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=20260128223827b44335ff08304ccfaeb78d8956ea8188&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20260128223827&Channel_ID=0116_2600001300-99000-201600010013600&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=42.176.202.221&SecurityKey=20260128223827&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=629307eb92664cbe5e860cda40398ac8
CCTV8,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=202601282237566e2446c53b5c4a6a8c9974c78165c0fc&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260128223756&Channel_ID=0116_2600001300-99000-201600010013599&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=42.180.52.66&SecurityKey=20260128223756&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b622017bbaa842c3266c8184aa44227d
CCTV9,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=2026012822372557e62a551799441cadcf37800ce0e49c&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20260128223725&Channel_ID=0116_2600001300-99000-201600010013598&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=42.180.52.65&SecurityKey=20260128223725&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=78b6a49c94c0385bcd1e8f88cb618878
CCTV10,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=2026012822365401d6abf328d846ac9cfb70606618aa8f&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20260128223654&Channel_ID=0116_2600001300-99000-201600010013597&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=218.24.35.91&SecurityKey=20260128223654&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=c5fcf50f5ead6196728aa14339847655
CCTV11,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=202601282236245d90b18f8cf64e46924c73dc026c6290&mdspid=&spid=699004&netType=4&sid=5500988610&pid=2028597139&timestamp=20260128223624&Channel_ID=0116_2600001300-99000-201600010013596&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=59.47.232.98&SecurityKey=20260128223624&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=df55fedbc54e6c757a58c50f2cbd222e
CCTV12,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=2026012822355359a2d75edd35465c9be1fa68f73e1573&mdspid=&spid=699004&netType=4&sid=5501083627&pid=2028597139&timestamp=20260128223553&Channel_ID=0116_2600001300-99000-201600010013595&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=59.47.232.95&SecurityKey=20260128223553&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=93268400bf878bbd6f7216ae8b9bd342
CCTV13,http://hlsztemgsplive.miguvideo.com:8080/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20260128224202ca11299b72ec40148e1db06a5e799b6c&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20260128224202&Channel_ID=0116_2600001300-99000-201600010013607&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=113.194.203.176&SecurityKey=20260128224202&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ac5e62f07542296cd7b86c65b1d5a814
CCTV14,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=202601282235226bb25250eafa46e0bf932b68de636ce0&mdspid=&spid=699004&netType=4&sid=5500212875&pid=2028597139&timestamp=20260128223522&Channel_ID=0116_2600001300-99000-201600010013594&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=36.134.69.13&SecurityKey=20260128223522&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=9f4c4e68f9d1cb3a1f4f3a587d8377fc
CCTV15,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=202601282234511fb8e3484f4b41229e062166ccc9db26&mdspid=&spid=699004&netType=4&sid=5501083628&pid=2028597139&timestamp=20260128223451&Channel_ID=0116_2600001300-99000-201600010013593&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=163.125.186.78&SecurityKey=20260128223451&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=cb22e9e02f0dcbeff3ce9b9fbd1cc4c4
CCTV16,http://114.254.33.163:18888/rtp/239.3.1.184:8001
CCTV17,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=202601282234208bc29d8e1e714ff1ae91017aa21dc23d&mdspid=&spid=699004&netType=4&sid=5501083631&pid=2028597139&timestamp=20260128223420&Channel_ID=0116_2600001300-99000-201600010013592&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=36.134.68.155&SecurityKey=20260128223420&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ea6bb227ed755bae3546475412d9beef
CCTV4K,http://220.176.218.23:9000/rtp/239.252.219.60:5140
CCTV8K,https://t.freetv.fun/live/cctv8k.php
